text,label
국회에서 새로운 법안이 통과되었습니다,0
대통령이 경제정책을 발표했습니다,0
여야 정치권이 치열한 토론을 벌였습니다,0
선거관리위원회가 투표 일정을 확정했습니다,0
정부가 새로운 정책을 시행한다고 발표했습니다,0
국정감사가 이번 주에 진행됩니다,0
정치권에서 개헌 논의가 활발해지고 있습니다,0
국무총리가 국정 현안을 점검했습니다,0
여당과 야당이 예산안을 놓고 대립하고 있습니다,0
지방자치단체장들이 중앙정부와 협의했습니다,0
국회의원들이 민생 법안 처리에 합의했습니다,0
청와대에서 국무회의가 개최되었습니다,0
정당 대표들이 정치 개혁안을 논의했습니다,0
국정 기획위원회가 새로운 비전을 제시했습니다,0
의회에서 탄핵안 표결이 진행되었습니다,0
정부 부처 간 협업 체계가 강화됩니다,0
지방의회에서 조례 개정안이 통과됐습니다,0
국가위원회가 정책 자문 활동을 시작했습니다,0
정치인들이 시민과의 소통을 강화하고 있습니다,0
국회 상임위에서 법안 심의가 완료되었습니다,0
선거 후보자 등록이 마감되었습니다,0
정부가 국정과제 추진 상황을 점검했습니다,0
여야 원내대표가 국정 현안을 논의했습니다,0
지방선거 출마 예비후보들이 공약을 발표했습니다,0
국회에서 추경예산안 심의가 시작되었습니다,0
정치권이 선거법 개정안을 둘러싸고 논쟁하고 있습니다,0
대통령실에서 국정 브리핑이 개최되었습니다,0
국정원이 국가 안보 상황을 보고했습니다,0
지역구 국회의원들이 민원 해결에 나섰습니다,0
정당들이 당론을 결정하기 위해 회의를 열었습니다,0
주식시장이 급등하며 투자자들이 환호했습니다,1
중앙은행이 기준금리를 인하했습니다,1
대기업의 실적이 예상보다 좋았습니다,1
부동산 시장에 새로운 규제가 적용됩니다,1
수출 실적이 작년보다 크게 증가했습니다,1
코스피 지수가 사상 최고치를 기록했습니다,1
환율이 급변하면서 수입업체들이 비상입니다,1
신용카드 사용액이 전월 대비 상승했습니다,1
국내 기업들의 투자 규모가 확대되고 있습니다,1
소비자물가가 전년 동월 대비 하락했습니다,1
금융권에서 대출 금리가 인상되었습니다,1
증권사들의 수익성이 크게 개선되었습니다,1
경제성장률이 정부 목표치를 상회했습니다,1
무역수지가 흑자를 기록하며 개선되고 있습니다,1
스타트업 투자 유치 규모가 역대 최고를 기록했습니다,1
제조업 생산지수가 상승세를 이어가고 있습니다,1
소상공인 지원 정책이 본격 시행됩니다,1
가계부채 증가율이 둔화되는 추세입니다,1
국내 증시에 외국인 투자자금이 몰리고 있습니다,1
디지털 화폐 시장이 급성장하고 있습니다,1
